X,Y,Z,% of ICNIRP Public,
-2,16.5375,0.997316,0.788192,
-0.9,10.7125,0.997316,1.28311,
-0.9,16.5375,0.997316,0.904873,
5.7,-6.7625,0.997316,0.00670067,
6.8,-9.675,0.997316,0.00387344,
6.8,-6.7625,0.997316,0.00554208,
4.6,-6.7625,0.997316,0.0069601,
3.5,-6.7625,0.997316,0.00632395,
7.9,-12.5875,0.997316,0.00244102,
9,-15.5,0.997316,0.00164123,
7.9,-6.7625,0.997316,0.00417609,
9,-6.7625,0.997316,0.00332082,
2.4,-6.7625,0.997316,0.00507377,
2.4,-3.85,0.997316,0.00681338,
2.4,-0.9375,0.997316,0.0109975,
2.4,1.975,0.997316,0.0758682,
9,25.275,0.997316,0.484987,
9,22.3625,0.997316,0.625268,
9,7.8,0.997316,2.31716,
9,4.8875,0.997316,0.815629,
10.1,4.8875,0.997316,0.589619,
7.9,10.7125,0.997316,2.90948,
9,1.975,0.997316,0.11681,
9,-0.9375,0.997316,0.0207568,
11.2,1.975,0.997316,0.114025,
12.3,-0.9375,0.997316,0.0350225,
-3.1,4.8875,0.997316,0.245203,
-2,1.975,0.997316,0.0979107,
-2,4.8875,0.997316,0.318757,
-0.9,-0.9375,0.997316,0.0280782,
0.2,-3.85,0.997316,0.00601314,
1.3,-6.7625,0.997316,0.00390929,
2.4,-9.675,0.997316,0.00375215,
3.5,-12.5875,0.997316,0.00306253,
4.6,-15.5,0.997316,0.00234946,
-0.9,4.8875,0.997316,0.425293,
0.2,4.8875,0.997316,0.581199,
1.3,4.8875,0.997316,0.816463,
0.2,7.8,0.997316,1.54969,
2.4,4.8875,0.997316,1.17381,
0.2,10.7125,0.997316,1.74644,
4.6,25.275,0.997316,0.524844,
4.6,22.3625,0.997316,0.698388,
3.5,22.3625,0.997316,0.687993,
4.6,19.45,0.997316,0.971991,
2.4,25.275,0.997316,0.505173,
4.6,16.5375,0.997316,1.43525,
5.7,16.5375,0.997316,1.43084,
4.6,13.625,0.997316,2.29526,
7.9,22.3625,0.997316,0.656649,
9,19.45,0.997316,0.836397,
6.8,25.275,0.997316,0.514024,
6.8,16.5375,0.997316,1.37489,
7.9,16.5375,0.997316,1.27994,
6.8,13.625,0.997316,2.14616,
6.8,10.7125,0.997316,3.57626,
5.7,10.7125,0.997316,4.0028,
4.6,10.7125,0.997316,4.05382,
9,16.5375,0.997316,1.16213,
10.1,16.5375,0.997316,1.0195,
11.2,13.625,0.997316,1.11107,
12.3,10.7125,0.997316,0.922361,
-0.9,22.3625,0.997316,0.560565,
0.2,19.45,0.997316,0.789344,
-2,25.275,0.997316,0.416033,
0.2,16.5375,0.997316,1.05664,
1.3,16.5375,0.997316,1.18231,
0.2,13.625,0.997316,1.41684,
1.3,10.7125,0.997316,2.35193,
2.4,13.625,0.997316,1.96137,
3.5,4.8875,0.997316,3.00944,
2.4,7.8,0.997316,3.80415,
4.6,4.8875,0.997316,18.6931,
5.7,4.8875,0.997316,15.0957,
4.6,7.8,0.997316,7.17949,
6.8,1.975,0.997316,0.0430266,
7.9,-0.9375,0.997316,0.0128127,
9,-3.85,0.997316,0.00568375,
10.1,-6.7625,0.997316,0.00315927,
11.2,-9.675,0.997316,0.00201878,
12.3,-12.5875,0.997316,0.00141051,
3.5,10.7125,0.997316,3.66396,
2.4,10.7125,0.997316,3.02277,
13.4,-15.5,0.997316,0.00103793,
13.4,-12.5875,0.997316,0.00146937,
13.4,25.275,0.997316,0.376336,
13.4,22.3625,0.997316,0.457944,
14.5,22.3625,0.997316,0.410485,
12.3,22.3625,0.997316,0.499331,
13.4,19.45,0.997316,0.546899,
11.2,25.275,0.997316,0.433339,
13.4,16.5375,0.997316,0.648408,
14.5,16.5375,0.997316,0.54234,
13.4,13.625,0.997316,0.71553,
13.4,10.7125,0.997316,0.695302,
14.5,10.7125,0.997316,0.52747,
13.4,7.8,0.997316,0.51112,
13.4,4.8875,0.997316,0.247435,
14.5,4.8875,0.997316,0.193669,
13.4,1.975,0.997316,0.0922063,
13.4,-0.9375,0.997316,0.0350935,
