X,Y,Z,% of ICNIRP Public,
14.6875,-5.7,3.9,0.0242038,
10.125,11.85,3.9,0.459306,
14.6875,11.85,3.9,0.231659,
-12.6875,11.85,3.9,0.353133,
-12.6875,17.7,3.9,0.310381,
-12.6875,23.55,3.9,0.248429,
-12.6875,29.4,3.9,0.189792,
14.6875,87.9,3.9,0.0287969,
14.6875,82.05,3.9,0.0328765,
19.25,82.05,3.9,0.031135,
14.6875,76.2,3.9,0.0377587,
23.8125,76.2,3.9,0.0329885,
14.6875,41.1,3.9,0.105039,
14.6875,35.25,3.9,0.127624,
19.25,35.25,3.9,0.103112,
10.125,46.95,3.9,0.095576,
5.5625,52.8,3.9,0.0822549,
14.6875,29.4,3.9,0.159808,
14.6875,23.55,3.9,0.19593,
23.8125,29.4,3.9,0.0892903,
28.375,23.55,3.9,0.0648813,
-35.5,35.25,3.9,0.0445171,
-30.9375,29.4,3.9,0.0586065,
-30.9375,35.25,3.9,0.0579671,
-26.375,23.55,3.9,0.0809426,
-21.8125,17.7,3.9,0.116813,
-17.25,11.85,3.9,0.180214,
-12.6875,6,3.9,0.280305,
-8.125,0.15,3.9,0.260545,
-3.5625,-5.7,3.9,0.011786,
-3.5625,87.9,3.9,0.0309906,
-3.5625,82.05,3.9,0.0355281,
1,82.05,3.9,0.0355697,
-3.5625,76.2,3.9,0.0411389,
5.5625,76.2,3.9,0.0405288,
-35.5,82.05,3.9,0.0244584,
-30.9375,76.2,3.9,0.0297664,
-26.375,35.25,3.9,0.0744571,
-30.9375,41.1,3.9,0.0543216,
-21.8125,35.25,3.9,0.0962708,
-17.25,35.25,3.9,0.119204,
-21.8125,41.1,3.9,0.0832459,
-12.6875,35.25,3.9,0.146978,
-8.125,35.25,3.9,0.171211,
-3.5625,35.25,3.9,0.186437,
-26.375,46.95,3.9,0.0602814,
1,35.25,3.9,0.18845,
-3.5625,41.1,3.9,0.13869,
5.5625,29.4,3.9,0.245242,
10.125,23.55,3.9,0.276052,
14.6875,17.7,3.9,0.226533,
19.25,11.85,3.9,0.124644,
23.8125,6,3.9,0.0509101,
28.375,0.15,3.9,0.0201314,
32.9375,-5.7,3.9,0.00900239,
32.9375,0.15,3.9,0.0149407,
32.9375,87.9,3.9,0.0227641,
32.9375,82.05,3.9,0.0248607,
37.5,82.05,3.9,0.0229788,
32.9375,76.2,3.9,0.0275325,
32.9375,41.1,3.9,0.0470506,
32.9375,35.25,3.9,0.0483784,
37.5,35.25,3.9,0.0382504,
32.9375,29.4,3.9,0.0488766,
32.9375,23.55,3.9,0.046709,
37.5,23.55,3.9,0.0342962,
32.9375,17.7,3.9,0.0410904,
32.9375,11.85,3.9,0.032674,
37.5,11.85,3.9,0.0234474,
32.9375,6,3.9,0.0232886,
37.5,0.15,3.9,0.0115236,
-30.9375,46.95,3.9,0.0495406,
-30.9375,52.8,3.9,0.0455967,
-35.5,46.95,3.9,0.0413646,
-8.125,46.95,3.9,0.1016,
-3.5625,46.95,3.9,0.106962,
-12.6875,52.8,3.9,0.0755306,
-3.5625,52.8,3.9,0.0849188,
28.375,46.95,3.9,0.0528187,
32.9375,46.95,3.9,0.0441244,
23.8125,52.8,3.9,0.0555327,
32.9375,52.8,3.9,0.0404371,
37.5,46.95,3.9,0.036366,
-35.5,-2.775,3.9,0.0100499,
-33.2188,-5.7,3.9,0.00878712,
-33.2188,-2.775,3.9,0.0113346,
