X,Y,Z,% of FCC OET 65 Public,
-35.5,-5.7,3.9,0.00595961,
-35.5,87.9,3.9,0.016845,
37.5,87.9,3.9,0.0156164,
37.5,-5.7,3.9,0.0055294,
-35.5,41.1,3.9,0.032743,
1,-5.7,3.9,0.00974529,
1,41.1,3.9,0.104611,
1,87.9,3.9,0.0232668,
37.5,41.1,3.9,0.0282295,
-35.5,17.7,3.9,0.0268985,
-17.25,-5.7,3.9,0.0152786,
-17.25,17.7,3.9,0.142918,
-17.25,87.9,3.9,0.0214459,
-17.25,64.5,3.9,0.0371392,
1,64.5,3.9,0.042995,
-35.5,64.5,3.9,0.0244648,
-17.25,41.1,3.9,0.0746884,
1,17.7,3.9,0.524246,
19.25,-5.7,3.9,0.0138407,
19.25,17.7,3.9,0.105327,
19.25,87.9,3.9,0.0206953,
19.25,64.5,3.9,0.0351221,
37.5,64.5,3.9,0.0220747,
19.25,41.1,3.9,0.0660061,
37.5,17.7,3.9,0.0221737,
-35.5,6,3.9,0.014753,
-26.375,-5.7,3.9,0.00906623,
-26.375,6,3.9,0.0313553,
-26.375,87.9,3.9,0.0193617,
-26.375,76.2,3.9,0.0242963,
-17.25,76.2,3.9,0.0278901,
1,6,3.9,3.00451,
10.125,-5.7,3.9,0.0230166,
10.125,6,3.9,0.304647,
-8.125,6,3.9,0.608122,
-8.125,17.7,3.9,0.368324,
10.125,87.9,3.9,0.0224249,
10.125,76.2,3.9,0.0296329,
19.25,76.2,3.9,0.0264518,
10.125,41.1,3.9,0.0897986,
10.125,29.4,3.9,0.152901,
19.25,29.4,3.9,0.0903983,
-35.5,29.4,3.9,0.0329585,
-26.375,17.7,3.9,0.0564504,
-26.375,29.4,3.9,0.060407,
-17.25,6,3.9,0.0934193,
-8.125,-5.7,3.9,0.0219064,
-8.125,87.9,3.9,0.0230703,
-8.125,76.2,3.9,0.0300594,
1,76.2,3.9,0.0308961,
-8.125,64.5,3.9,0.0414508,
10.125,64.5,3.9,0.0400405,
-35.5,76.2,3.9,0.0200151,
-26.375,64.5,3.9,0.0309858,
-17.25,29.4,3.9,0.109921,
-26.375,41.1,3.9,0.05092,
-8.125,29.4,3.9,0.174374,
1,29.4,3.9,0.2013,
-8.125,41.1,3.9,0.096692,
10.125,17.7,3.9,0.277967,
19.25,6,3.9,0.0645501,
28.375,-5.7,3.9,0.0084015,
28.375,6,3.9,0.0249478,
28.375,87.9,3.9,0.0183089,
28.375,76.2,3.9,0.0227532,
37.5,76.2,3.9,0.0187075,
28.375,64.5,3.9,0.0285681,
28.375,41.1,3.9,0.0440049,
28.375,29.4,3.9,0.0492205,
37.5,29.4,3.9,0.0278682,
28.375,17.7,3.9,0.04432,
37.5,6,3.9,0.012869,
-35.5,0.15,3.9,0.00964505,
-30.9375,-5.7,3.9,0.00723105,
-30.9375,0.15,3.9,0.0127887,
-30.9375,87.9,3.9,0.0180747,
-30.9375,82.05,3.9,0.019977,
-26.375,82.05,3.9,0.0216371,
-35.5,52.8,3.9,0.0285333,
-26.375,52.8,3.9,0.0391924,
-17.25,52.8,3.9,0.0517818,
-8.125,52.8,3.9,0.0611603,
1,52.8,3.9,0.0638729,
10.125,52.8,3.9,0.0584835,
19.25,52.8,3.9,0.0476071,
28.375,52.8,3.9,0.0355436,
37.5,52.8,3.9,0.0256546,
1,0.15,3.9,2.72699,
5.5625,-5.7,3.9,0.022914,
5.5625,0.15,3.9,0.321669,
-3.5625,0.15,3.9,0.653072,
-3.5625,6,3.9,2.15386,
5.5625,87.9,3.9,0.0231509,
5.5625,82.05,3.9,0.0264465,
10.125,82.05,3.9,0.0256573,
5.5625,41.1,3.9,0.0998247,
5.5625,35.25,3.9,0.13158,
10.125,35.25,3.9,0.116136,
1,46.95,3.9,0.0805188,
5.5625,46.95,3.9,0.0775214,
-35.5,23.55,3.9,0.0306869,
-30.9375,17.7,3.9,0.0379396,
-30.9375,23.55,3.9,0.0427592,
-17.25,0.15,3.9,0.0425531,
-12.6875,-5.7,3.9,0.0198399,
-12.6875,0.15,3.9,0.0799052,
-21.8125,0.15,3.9,0.0262452,
-21.8125,6,3.9,0.050782,
-12.6875,87.9,3.9,0.0223115,
-12.6875,82.05,3.9,0.0255041,
-8.125,82.05,3.9,0.0262212,
-17.25,46.95,3.9,0.0615133,
-12.6875,41.1,3.9,0.0868749,
-12.6875,46.95,3.9,0.0696036,
-21.8125,46.95,3.9,0.0528057,
-21.8125,52.8,3.9,0.0458616,
-21.8125,23.55,3.9,0.0881769,
-17.25,23.55,3.9,0.128499,
-21.8125,29.4,3.9,0.0811725,
-3.5625,23.55,3.9,0.297827,
1,23.55,3.9,0.308404,
-3.5625,29.4,3.9,0.194982,
-3.5625,17.7,3.9,0.496741,
-8.125,23.55,3.9,0.250429,
5.5625,17.7,3.9,0.419094,
5.5625,23.55,3.9,0.266934,
19.25,0.15,3.9,0.032667,
23.8125,-5.7,3.9,0.010674,
23.8125,0.15,3.9,0.0214184,
14.6875,0.15,3.9,0.0555702,
14.6875,6,3.9,0.126908,
23.8125,87.9,3.9,0.0195937,
23.8125,82.05,3.9,0.0218997,
28.375,82.05,3.9,0.0202533,
19.25,46.95,3.9,0.0552696,
23.8125,41.1,3.9,0.0538688,
23.8125,46.95,3.9,0.0473481,
14.6875,46.95,3.9,0.0642453,
14.6875,52.8,3.9,0.0529685,
23.8125,35.25,3.9,0.0610954,
28.375,35.25,3.9,0.0474202,
23.8125,17.7,3.9,0.0662498,
23.8125,11.85,3.9,0.0554042,
28.375,11.85,3.9,0.0360017,
19.25,23.55,3.9,0.10118,
23.8125,23.55,3.9,0.0699853,
-35.5,11.85,3.9,0.0209552,
-30.9375,6,3.9,0.0210524,
-30.9375,11.85,3.9,0.030113,
-26.375,0.15,3.9,0.0177515,
-21.8125,-5.7,3.9,0.0116702,
-26.375,11.85,3.9,0.0460593,
-21.8125,11.85,3.9,0.074762,
-21.8125,87.9,3.9,0.0205105,
-21.8125,82.05,3.9,0.0230357,
-17.25,82.05,3.9,0.024458,
-21.8125,76.2,3.9,0.0261432,
-12.6875,76.2,3.9,0.0293549,
1,11.85,3.9,1.0795,
5.5625,6,3.9,0.983323,
5.5625,11.85,3.9,0.696755,
-3.5625,11.85,3.9,0.970274,
-8.125,11.85,3.9,0.547633,
10.125,0.15,3.9,0.113145,
14.6875,-5.7,3.9,0.0181529,
10.125,11.85,3.9,0.344479,
14.6875,11.85,3.9,0.173744,
-12.6875,11.85,3.9,0.26485,
-12.6875,17.7,3.9,0.232785,
-12.6875,23.55,3.9,0.186322,
-12.6875,29.4,3.9,0.142344,
14.6875,87.9,3.9,0.0215977,
14.6875,82.05,3.9,0.0246574,
19.25,82.05,3.9,0.0233513,
14.6875,76.2,3.9,0.028319,
23.8125,76.2,3.9,0.0247414,
14.6875,41.1,3.9,0.0787794,
14.6875,35.25,3.9,0.0957182,
19.25,35.25,3.9,0.0773341,
