X,Y,Z,% of FCC OET 65 Public,
-14.8125,-26.425,3.9,0.000446243,
-14.8125,-21.2875,3.9,0.000843111,
-12.925,-31.5625,3.9,0.000349906,
-11.0375,-36.7,3.9,0.000341086,
-12.925,-21.2875,3.9,0.000726059,
-11.0375,-21.2875,3.9,0.000681211,
-11.0375,45.5,3.9,0.0759518,
-11.0375,40.3625,3.9,0.0935105,
-9.15,40.3625,3.9,0.0987737,
-11.0375,35.225,3.9,0.117101,
-7.2625,35.225,3.9,0.130572,
-16.7,19.8125,3.9,0.145969,
-14.8125,14.675,3.9,0.19312,
-14.8125,19.8125,3.9,0.176346,
-12.925,9.5375,3.9,0.246599,
-11.0375,4.4,3.9,0.249687,
-1.6,-21.2875,3.9,0.00155194,
0.2875,-26.425,3.9,0.000996133,
0.2875,-21.2875,3.9,0.00152416,
-3.4875,-21.2875,3.9,0.00141873,
-5.375,-21.2875,3.9,0.00116047,
2.175,-31.5625,3.9,0.000657284,
4.0625,-36.7,3.9,0.000447437,
2.175,-21.2875,3.9,0.00132639,
4.0625,-21.2875,3.9,0.00104836,
-7.2625,-21.2875,3.9,0.000911147,
-7.2625,-16.15,3.9,0.0012534,
-7.2625,-11.0125,3.9,0.00289924,
-7.2625,-5.875,3.9,0.0196661,
4.0625,45.5,3.9,0.0830264,
4.0625,40.3625,3.9,0.104808,
5.95,40.3625,3.9,0.101591,
4.0625,35.225,3.9,0.136382,
7.8375,35.225,3.9,0.125521,
4.0625,4.4,3.9,1.56568,
4.0625,-0.737501,3.9,0.28888,
5.95,-0.737501,3.9,0.19886,
2.175,9.5375,3.9,1.40239,
0.2875,14.675,3.9,0.755268,
4.0625,-5.875,3.9,0.0159044,
4.0625,-11.0125,3.9,0.00252945,
7.8375,-5.875,3.9,0.0235971,
9.725,-11.0125,3.9,0.00573703,
-1.6,19.8125,3.9,0.429856,
0.2875,19.8125,3.9,0.431112,
-16.7,-0.737501,3.9,0.0393923,
-14.8125,-5.875,3.9,0.0170281,
-14.8125,-0.737501,3.9,0.0493297,
-12.925,-11.0125,3.9,0.00560647,
-11.0375,-16.15,3.9,0.00143088,
-9.15,-21.2875,3.9,0.000746133,
-7.2625,-26.425,3.9,0.000713485,
-5.375,-31.5625,3.9,0.000635193,
-3.4875,-36.7,3.9,0.000514826,
-12.925,-0.737501,3.9,0.0634006,
-11.0375,-0.737501,3.9,0.0840842,
-9.15,-0.737501,3.9,0.115707,
-7.2625,-0.737501,3.9,0.167407,
-5.375,-0.737501,3.9,0.246765,
-3.4875,-0.737501,3.9,0.299415,
-3.4875,45.5,3.9,0.0853323,
-3.4875,40.3625,3.9,0.107799,
-1.6,40.3625,3.9,0.108431,
-3.4875,35.225,3.9,0.140271,
0.2875,35.225,3.9,0.141698,
-3.4875,24.95,3.9,0.267133,
-3.4875,19.8125,3.9,0.411209,
-3.4875,14.675,3.9,0.694424,
-3.4875,9.5375,3.9,1.33927,
2.175,19.8125,3.9,0.41487,
0.2875,24.95,3.9,0.277129,
4.0625,19.8125,3.9,0.384395,
5.95,19.8125,3.9,0.347288,
4.0625,24.95,3.9,0.257049,
7.8375,14.675,3.9,0.422027,
9.725,9.5375,3.9,0.381092,
-16.7,40.3625,3.9,0.0782697,
-14.8125,35.225,3.9,0.101389,
-12.925,19.8125,3.9,0.213622,
-14.8125,24.95,3.9,0.150431,
-11.0375,19.8125,3.9,0.253594,
-9.15,19.8125,3.9,0.293973,
-11.0375,24.95,3.9,0.193222,
-7.2625,14.675,3.9,0.497759,
-5.375,9.5375,3.9,1.01256,
-3.4875,4.4,3.9,2.56279,
-1.6,-0.737501,3.9,0.750009,
0.2875,-5.875,3.9,0.013158,
2.175,-11.0125,3.9,0.0034671,
4.0625,-16.15,3.9,0.00147861,
5.95,-21.2875,3.9,0.000820379,
7.8375,-26.425,3.9,0.000514381,
9.725,-31.5625,3.9,0.000351575,
11.6125,-36.7,3.9,0.000256901,
11.6125,-31.5625,3.9,0.000315956,
11.6125,45.5,3.9,0.0731907,
11.6125,40.3625,3.9,0.0890515,
13.5,40.3625,3.9,0.0831921,
11.6125,35.225,3.9,0.109425,
11.6125,24.95,3.9,0.175038,
11.6125,19.8125,3.9,0.2189,
13.5,19.8125,3.9,0.184572,
11.6125,14.675,3.9,0.263074,
11.6125,9.5375,3.9,0.268784,
13.5,9.5375,3.9,0.194762,
11.6125,4.4,3.9,0.188047,
11.6125,-0.737501,3.9,0.0720432,
13.5,-0.737501,3.9,0.05538,
11.6125,-5.875,3.9,0.0206303,
11.6125,-11.0125,3.9,0.00647706,
13.5,-11.0125,3.9,0.00678244,
11.6125,-16.15,3.9,0.00207441,
11.6125,-21.2875,3.9,0.000826323,
13.5,-21.2875,3.9,0.00100379,
11.6125,-26.425,3.9,0.000445542,
13.5,-31.5625,3.9,0.000310051,
-15.7563,45.5,3.9,0.0679607,
-15.7563,42.9313,3.9,0.0735702,
-14.8125,42.9313,3.9,0.0764681,
-16.7,6.96875,3.9,0.111486,
-15.7563,4.4,3.9,0.0992859,
-15.7563,6.96875,3.9,0.130096,
-0.65625,45.5,3.9,0.0857267,
-0.65625,42.9313,3.9,0.0961197,
0.2875,42.9313,3.9,0.096099,
-0.65625,4.4,3.9,4.74725,
-0.65625,1.83125,3.9,6.35584,
0.2875,1.83125,3.9,5.63932,
-1.6,6.96875,3.9,2.54708,
-0.65625,6.96875,3.9,2.68137,
-16.7,-13.5813,3.9,0.00372807,
-15.7563,-16.15,3.9,0.00222815,
-15.7563,-13.5813,3.9,0.00364021,
-8.20625,45.5,3.9,0.0802041,
-8.20625,42.9313,3.9,0.0889325,
-7.2625,42.9313,3.9,0.0915267,
-9.15,30.0875,3.9,0.16248,
-7.2625,30.0875,3.9,0.172635,
-11.0375,30.0875,3.9,0.149124,
-12.925,30.0875,3.9,0.136443,
-14.8125,30.0875,3.9,0.121868,
-16.7,30.0875,3.9,0.111212,
-5.375,30.0875,3.9,0.182261,
-3.4875,30.0875,3.9,0.187386,
-1.6,30.0875,3.9,0.192567,
0.2875,30.0875,3.9,0.192764,
2.175,30.0875,3.9,0.187971,
4.0625,30.0875,3.9,0.18305,
5.95,30.0875,3.9,0.17361,
7.8375,30.0875,3.9,0.163571,
9.725,30.0875,3.9,0.150266,
11.6125,30.0875,3.9,0.137552,
13.5,30.0875,3.9,0.125677,
-9.15,6.96875,3.9,0.487804,
-8.20625,4.4,3.9,0.525339,
-8.20625,6.96875,3.9,0.613604,
-10.0938,6.96875,3.9,0.390248,
-10.0938,9.5375,3.9,0.412672,
-10.0938,-13.5813,3.9,0.00224376,
-9.15,-13.5813,3.9,0.00198008,
-10.0938,-11.0125,3.9,0.00447748,
-2.54375,-13.5813,3.9,0.00330005,
-1.6,-13.5813,3.9,0.00363232,
-2.54375,-11.0125,3.9,0.00453366,
-2.54375,-16.15,3.9,0.00248556,
-3.4875,-13.5813,3.9,0.00281941,
-0.65625,-16.15,3.9,0.00269585,
-0.65625,-13.5813,3.9,0.00376422,
6.89375,45.5,3.9,0.0799027,
6.89375,42.9313,3.9,0.0893056,
7.8375,42.9313,3.9,0.0885701,
6.89375,24.95,3.9,0.228716,
6.89375,22.3813,3.9,0.272146,
7.8375,22.3813,3.9,0.257842,
5.95,6.96875,3.9,0.87732,
6.89375,4.4,3.9,0.611623,
6.89375,6.96875,3.9,0.698487,
5.00625,6.96875,3.9,1.10859,
5.00625,9.5375,3.9,0.926179,
6.89375,1.83125,3.9,0.384463,
7.8375,1.83125,3.9,0.293015,
6.89375,-16.15,3.9,0.00119347,
6.89375,-18.7188,3.9,0.000892403,
7.8375,-18.7188,3.9,0.000884887,
5.95,-13.5813,3.9,0.00172077,
6.89375,-13.5813,3.9,0.00193205,
-11.9813,45.5,3.9,0.0749379,
-11.9813,42.9313,3.9,0.0819491,
-11.0375,42.9313,3.9,0.0845858,
-12.925,37.7937,3.9,0.0990623,
-11.9813,35.225,3.9,0.114275,
-11.9813,37.7937,3.9,0.101196,
-16.7,17.2437,3.9,0.152081,
-15.7563,14.675,3.9,0.171039,
-15.7563,17.2437,3.9,0.170406,
-12.925,6.96875,3.9,0.215007,
-11.9813,4.4,3.9,0.201619,
-11.9813,6.96875,3.9,0.262387,
-13.8688,6.96875,3.9,0.179324,
-13.8688,9.5375,3.9,0.208321,
3.11875,45.5,3.9,0.0844239,
3.11875,42.9313,3.9,0.0940894,
4.0625,42.9313,3.9,0.0929665,
2.175,37.7937,3.9,0.122687,
3.11875,35.225,3.9,0.137244,
3.11875,37.7937,3.9,0.119742,
3.11875,4.4,3.9,2.17599,
3.11875,1.83125,3.9,1.60051,
4.0625,1.83125,3.9,1.057,
3.11875,-5.875,3.9,0.011146,
3.11875,-8.44375,3.9,0.00412375,
4.0625,-8.44375,3.9,0.00484592,
2.175,-3.30625,3.9,0.0374082,
3.11875,-3.30625,3.9,0.0551156,
-1.6,17.2437,3.9,0.557793,
-0.65625,14.675,3.9,0.757969,
-0.65625,17.2437,3.9,0.561179,
2.175,6.96875,3.9,2.09587,
3.11875,6.96875,3.9,1.75029,
-16.7,-3.30625,3.9,0.024282,
-15.7563,-5.875,3.9,0.016148,
-15.7563,-3.30625,3.9,0.0263738,
-12.925,-13.5813,3.9,0.00307401,
-11.9813,-16.15,3.9,0.00158631,
-11.9813,-13.5813,3.9,0.00282454,
-13.8688,-13.5813,3.9,0.00330868,
-13.8688,-11.0125,3.9,0.00579541,
-13.8688,-3.30625,3.9,0.0313451,
-12.925,-3.30625,3.9,0.0342823,
-13.8688,-0.737501,3.9,0.0557256,
-10.0938,-3.30625,3.9,0.0450786,
-9.15,-3.30625,3.9,0.0492216,
-10.0938,-0.737501,3.9,0.0981544,
-10.0938,-5.875,3.9,0.0206258,
-11.0375,-3.30625,3.9,0.041155,
-6.31875,-16.15,3.9,0.00140194,
-6.31875,-13.5813,3.9,0.00173083,
-7.2625,-13.5813,3.9,0.00167049,
-6.31875,-5.875,3.9,0.0177013,
-6.31875,-3.30625,3.9,0.058511,
-7.2625,-3.30625,3.9,0.0571766,
-5.375,-8.44375,3.9,0.00458247,
-6.31875,-8.44375,3.9,0.00569243,
-4.43125,45.5,3.9,0.0848554,
-4.43125,42.9313,3.9,0.0944665,
-3.4875,42.9313,3.9,0.0956058,
-5.375,37.7937,3.9,0.118674,
-4.43125,35.225,3.9,0.136791,
-4.43125,37.7937,3.9,0.119356,
-9.15,37.7937,3.9,0.109804,
-8.20625,35.225,3.9,0.128089,
-8.20625,37.7937,3.9,0.11316,
-4.43125,24.95,3.9,0.26354,
-4.43125,22.3813,3.9,0.316803,
-3.4875,22.3813,3.9,0.328143,
-4.43125,14.675,3.9,0.648357,
-4.43125,12.1063,3.9,0.872027,
-3.4875,12.1063,3.9,0.946425,
-5.375,17.2437,3.9,0.474587,
-4.43125,17.2437,3.9,0.500249,
-1.6,37.7937,3.9,0.123362,
-0.65625,35.225,3.9,0.141743,
-0.65625,37.7937,3.9,0.123478,
1.23125,17.2437,3.9,0.544467,
2.175,17.2437,3.9,0.53242,
1.23125,19.8125,3.9,0.422166,
5.00625,17.2437,3.9,0.457907,
5.95,17.2437,3.9,0.424402,
5.00625,19.8125,3.9,0.367444,
5.00625,14.675,3.9,0.574552,
4.0625,17.2437,3.9,0.482358,
-16.7,37.7937,3.9,0.0848043,
-15.7563,35.225,3.9,0.0966123,
-15.7563,37.7937,3.9,0.0887136,
-13.8688,17.2437,3.9,0.208771,
-12.925,17.2437,3.9,0.231363,
-13.8688,19.8125,3.9,0.191893,
-10.0938,17.2437,3.9,0.316736,
-9.15,17.2437,3.9,0.344261,
-10.0938,19.8125,3.9,0.270195,
-10.0938,14.675,3.9,0.356551,
-11.0375,17.2437,3.9,0.287261,
-8.20625,14.675,3.9,0.4545,
-8.20625,17.2437,3.9,0.3763,
-5.375,6.96875,3.9,1.2508,
-4.43125,4.4,3.9,1.85506,
-4.43125,6.96875,3.9,1.58959,
-6.31875,6.96875,3.9,0.987185,
-6.31875,9.5375,3.9,0.864045,
-5.375,-3.30625,3.9,0.0588024,
-6.31875,-0.737501,3.9,0.203711,
-2.54375,-3.30625,3.9,0.0221657,
-1.6,-3.30625,3.9,0.0130949,
-2.54375,-0.737501,3.9,0.272942,
-2.54375,-5.875,3.9,0.00833372,
-3.4875,-3.30625,3.9,0.0409757,
-0.65625,-5.875,3.9,0.0152925,
-0.65625,-3.30625,3.9,0.0225575,
2.175,-13.5813,3.9,0.00266828,
3.11875,-16.15,3.9,0.00175795,
3.11875,-13.5813,3.9,0.00216959,
1.23125,-13.5813,3.9,0.00318939,
1.23125,-11.0125,3.9,0.00443767,
10.6688,45.5,3.9,0.0746868,
10.6688,42.9313,3.9,0.0823383,
11.6125,42.9313,3.9,0.0805448,
9.725,37.7937,3.9,0.105239,
10.6688,35.225,3.9,0.114618,
10.6688,37.7937,3.9,0.101621,
5.95,37.7937,3.9,0.114817,
6.89375,35.225,3.9,0.128296,
6.89375,37.7937,3.9,0.113733,
10.6688,24.95,3.9,0.185566,
10.6688,22.3813,3.9,0.211228,
11.6125,22.3813,3.9,0.195808,
10.6688,14.675,3.9,0.293945,
10.6688,12.1063,3.9,0.316737,
11.6125,12.1063,3.9,0.273033,
9.725,17.2437,3.9,0.296217,
10.6688,17.2437,3.9,0.268675,
6.89375,14.675,3.9,0.472663,
6.89375,17.2437,3.9,0.388019,
9.725,6.96875,3.9,0.357245,
10.6688,4.4,3.9,0.231063,
10.6688,6.96875,3.9,0.288988,
8.78125,6.96875,3.9,0.444672,
8.78125,9.5375,3.9,0.452637,
10.6688,1.83125,3.9,0.150217,
11.6125,1.83125,3.9,0.124764,
10.6688,-5.875,3.9,0.0215,
10.6688,-8.44375,3.9,0.011615,
11.6125,-8.44375,3.9,0.0115802,
9.725,-3.30625,3.9,0.0462465,
10.6688,-3.30625,3.9,0.042212,
5.95,-3.30625,3.9,0.0628189,
6.89375,-5.875,3.9,0.0234076,
6.89375,-3.30625,3.9,0.0593394,
9.725,-13.5813,3.9,0.00295712,
10.6688,-16.15,3.9,0.00187856,
10.6688,-13.5813,3.9,0.00335598,
8.78125,-13.5813,3.9,0.00262356,
8.78125,-11.0125,3.9,0.00525818,
10.6688,-18.7188,3.9,0.00113579,
11.6125,-18.7188,3.9,0.00126546,
-13.8688,45.5,3.9,0.0714309,
-13.8688,42.9313,3.9,0.0781608,
-12.925,42.9313,3.9,0.0806955,
-13.8688,40.3625,3.9,0.086675,
-13.8688,37.7937,3.9,0.0948203,
-11.9813,40.3625,3.9,0.0915764,
-11.0375,37.7937,3.9,0.104528,
