X,Y,Z,% of FCC OET 65 Public,
-15.225,10.2,1.12,0.000441396,
-15.225,8.95,1.12,0.000388789,
-12.1,8.95,1.12,0.000775614,
-8.975,7.7,1.12,0.00165053,
-5.85,6.45,1.12,0.00462238,
-15.225,7.7,1.12,0.000370013,
-15.225,6.45,1.12,0.000400039,
-18.35,8.95,1.12,0.000260862,
-24.6,3.95,1.12,0.000295423,
-21.475,2.7,1.12,0.000407857,
-21.475,3.95,1.12,0.000364333,
-18.35,1.45,1.12,0.000573961,
-15.225,0.2,1.12,0.000839924,
-18.35,3.95,1.12,0.000466228,
-15.225,3.95,1.12,0.000594131,
0.4,-6.05,1.12,0.0842451,
3.525,-7.3,1.12,0.14898,
3.525,-6.05,1.12,0.228389,
-2.725,-6.05,1.12,0.0199543,
-5.85,-6.05,1.12,0.00524989,
6.65,-8.55,1.12,0.14566,
9.775,-9.8,1.12,0.119579,
6.65,-6.05,1.12,0.283301,
9.775,-6.05,1.12,0.246303,
-8.975,-6.05,1.12,0.00150741,
-8.975,-4.8,1.12,0.00110531,
-8.975,-3.55,1.12,0.000999915,
-8.975,-2.3,1.12,0.00131171,
9.775,10.2,1.12,0.109796,
9.775,8.95,1.12,0.141179,
12.9,8.95,1.12,0.128278,
9.775,7.7,1.12,0.179253,
9.775,6.45,1.12,0.229052,
16.025,7.7,1.12,0.124669,
19.15,6.45,1.12,0.111641,
9.775,0.2,1.12,0.495229,
9.775,-1.05,1.12,0.480587,
12.9,-1.05,1.12,0.293012,
6.65,1.45,1.12,0.849195,
3.525,2.7,1.12,0.878275,
9.775,-2.3,1.12,0.437627,
9.775,-3.55,1.12,0.377336,
16.025,-2.3,1.12,0.189355,
19.15,-3.55,1.12,0.130425,
0.4,3.95,1.12,0.142135,
3.525,3.95,1.12,0.51548,
6.65,3.95,1.12,0.512647,
9.775,3.95,1.12,0.359475,
-18.35,-3.55,1.12,0.000418781,
-15.225,-4.8,1.12,0.000429884,
-15.225,-6.05,1.12,0.000374004,
-12.1,-6.05,1.12,0.000604878,
-18.35,-6.05,1.12,0.000289385,
-8.975,-7.3,1.12,0.00194624,
-5.85,-8.55,1.12,0.00608793,
-2.725,-9.8,1.12,0.0146342,
-21.475,-1.05,1.12,0.000418735,
-18.35,-1.05,1.12,0.000562706,
-15.225,-1.05,1.12,0.000790495,
-12.1,-1.05,1.12,0.00117542,
-8.975,-1.05,1.12,0.00187672,
-5.85,-1.05,1.12,0.00312981,
-2.725,-1.05,1.12,0.00356443,
-2.725,10.2,1.12,0.0131472,
-2.725,8.95,1.12,0.0148816,
0.4,8.95,1.12,0.0411375,
-2.725,7.7,1.12,0.0166967,
-2.725,6.45,1.12,0.0183045,
-2.725,5.2,1.12,0.0186473,
-2.725,3.95,1.12,0.0170418,
-2.725,2.7,1.12,0.0110591,
-2.725,1.45,1.12,0.00398417,
3.525,7.7,1.12,0.130471,
6.65,6.45,1.12,0.254152,
9.775,5.2,1.12,0.293665,
12.9,3.95,1.12,0.245953,
16.025,2.7,1.12,0.18658,
19.15,1.45,1.12,0.140052,
-18.35,6.45,1.12,0.000324231,
-15.225,5.2,1.12,0.00047382,
-21.475,7.7,1.12,0.000235817,
-12.1,3.95,1.12,0.000759356,
-8.975,2.7,1.12,0.00138975,
-5.85,1.45,1.12,0.00306574,
-2.725,0.2,1.12,0.00673304,
0.4,-1.05,1.12,1.27674,
3.525,-2.3,1.12,1.0288,
6.65,-3.55,1.12,0.555151,
9.775,-4.8,1.12,0.308851,
12.9,-6.05,1.12,0.192352,
16.025,-7.3,1.12,0.130331,
19.15,-8.55,1.12,0.0938377,
22.275,-9.8,1.12,0.070287,
22.275,-8.55,1.12,0.0765022,
22.275,10.2,1.12,0.0683932,
22.275,8.95,1.12,0.0757246,
25.4,8.95,1.12,0.0625447,
22.275,7.7,1.12,0.0818562,
22.275,6.45,1.12,0.0882956,
25.4,6.45,1.12,0.0709312,
22.275,5.2,1.12,0.0932548,
22.275,3.95,1.12,0.0975537,
25.4,3.95,1.12,0.0775014,
22.275,2.7,1.12,0.101439,
22.275,1.45,1.12,0.104779,
25.4,1.45,1.12,0.081122,
22.275,0.2,1.12,0.105284,
22.275,-1.05,1.12,0.105035,
25.4,-1.05,1.12,0.081259,
22.275,-2.3,1.12,0.101845,
22.275,-3.55,1.12,0.0981892,
25.4,-3.55,1.12,0.0778695,
22.275,-4.8,1.12,0.0940189,
22.275,-6.05,1.12,0.0890617,
25.4,-6.05,1.12,0.0712532,
22.275,-7.3,1.12,0.0826619,
25.4,-8.55,1.12,0.0629138,
0.4,-9.175,1.12,0.0410887,
1.9625,-9.8,1.12,0.0543908,
